line_idx,sent_id,para_id,sent_idx,target_type,target_word,target_word_idx
0,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,Inner,0
1,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,and,1
2,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,outer,2
3,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,vestibules,3
4,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,lead,4
5,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,to,5
6,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,the,6
7,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,octagonal,7
8,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,chapter,8
9,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,house,9
10,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,which,10
11,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,is,11
12,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,of,12
13,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,exceptional,13
14,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,architectural,14
15,squad_v2_56e8f8fa99e8941900975f48_s0,squad_v2_56e8f8fa99e8941900975f48,0,word,purity,15
16,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,It,0
17,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,is,1
18,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,built,2
19,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,in,3
20,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,a,4
21,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,Geometrical,5
22,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,Gothic,6
23,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,style,7
24,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,with,8
25,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,an,9
26,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,octagonal,10
27,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,crypt,11
28,squad_v2_56e8f8fa99e8941900975f48_s1,squad_v2_56e8f8fa99e8941900975f48,1,word,below,12
29,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,A,0
30,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,pier,1
31,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,of,2
32,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,eight,3
33,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,shafts,4
34,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,carries,5
35,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,the,6
36,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,vaulted,7
37,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,ceiling,8
38,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,To,0
39,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,the,1
40,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,sides,2
41,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,are,3
42,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,blind,4
43,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,arcading,5
44,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,remains,6
45,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,of,7
46,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,14th-century,8
47,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,paintings,9
48,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,and,10
49,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,numerous,11
50,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,stone,12
51,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,benches,13
52,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,above,14
53,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,which,15
54,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,are,16
55,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,innovatory,17
56,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,large,18
57,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,4-light,19
58,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,quatre-foiled,20
59,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,windows,21
60,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,These,0
61,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,are,1
62,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,virtually,2
63,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,contemporary,3
64,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,with,4
65,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,the,5
66,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,Sainte-Chapelle,6
67,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,Paris,7
